0 0 
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0

0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0

0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
16 10 0
56 52 0
80 80 0
93 98 0
106 112 0
115 121 0
120 126 0
126 131 0
127 132 0
131 136 0
135 136 0
132 136 0
136 137 0
135 137 0
135 136 0
136 137 0
136 138 0
135 136 0
136 138 0
137 137 0
135 137 0
137 138 0
137 138 0
136 136 0
137 137 0
137 137 0
136 137 0
137 138 0
136 138 0
135 137 0
136 137 0
137 137 0
136 136 0
137 137 0
136 137 0
137 137 0
145 145 0
148 148 0
150 150 0
153 153 0
153 152 0
156 156 0
156 157 0
155 155 0
157 157 0
156 156 0
157 155 0
157 157 0
157 157 0
155 155 0
157 157 0
157 157 0
156 156 0
157 156 0
158 157 0
156 156 0
157 157 0
157 157 0
156 155 0
157 157 0
157 157 0
156 156 0
158 156 0
158 156 0
156 155 0
157 156 0
157 156 0
156 155 0
158 156 0
158 157 0
156 156 0
157 156 0
155 155 0
157 157 0
157 157 0
155 155 0
157 157 0
157 157 0
157 155 0
157 156 0
157 156 0
156 155 0
157 156 0
157 156 0
155 153 0
